Start Training:
Iter: 0, Loss: 4.04097e+00, Loss_0: 2.03004e+00, Loss_b: 1.02530e-02, Loss_f: 4.20192e-05, Loss_s: 2.00063e+00
Iter: 2100, Loss: 4.06243e-04, Loss_0: 3.46305e-05, Loss_b: 3.32256e-07, Loss_f: 2.11788e-04, Loss_s: 1.59493e-04
Iter: 2200, Loss: 3.84264e-04, Loss_0: 3.30327e-05, Loss_b: 4.92040e-07, Loss_f: 2.01091e-04, Loss_s: 1.49648e-04
Iter: 2300, Loss: 3.57719e-04, Loss_0: 3.03373e-05, Loss_b: 5.84511e-07, Loss_f: 1.86835e-04, Loss_s: 1.39962e-04
Iter: 2400, Loss: 3.46790e-04, Loss_0: 3.47541e-05, Loss_b: 5.84006e-06, Loss_f: 1.65024e-04, Loss_s: 1.41172e-04
Iter: 2500, Loss: 4.44459e-04, Loss_0: 2.75767e-05, Loss_b: 4.03898e-06, Loss_f: 2.40409e-04, Loss_s: 1.72434e-04
Iter: 2600, Loss: 2.75670e-04, Loss_0: 2.50635e-05, Loss_b: 3.28548e-07, Loss_f: 1.44057e-04, Loss_s: 1.06221e-04
Iter: 2700, Loss: 2.66763e-04, Loss_0: 2.41192e-05, Loss_b: 3.45905e-07, Loss_f: 1.32526e-04, Loss_s: 1.09772e-04
Iter: 2800, Loss: 9.13948e-04, Loss_0: 1.83470e-04, Loss_b: 1.57272e-04, Loss_f: 3.95807e-04, Loss_s: 1.77398e-04
Iter: 2900, Loss: 2.67391e-04, Loss_0: 2.08928e-05, Loss_b: 1.28811e-06, Loss_f: 1.58624e-04, Loss_s: 8.65861e-05
Iter: 3000, Loss: 2.19741e-04, Loss_0: 1.94796e-05, Loss_b: 3.13184e-07, Loss_f: 1.14258e-04, Loss_s: 8.56904e-05
Iter: 3100, Loss: 2.76570e-04, Loss_0: 2.12711e-05, Loss_b: 2.58566e-07, Loss_f: 1.55941e-04, Loss_s: 9.90997e-05
Iter: 3200, Loss: 1.65764e-03, Loss_0: 8.80151e-05, Loss_b: 1.12443e-04, Loss_f: 1.29180e-03, Loss_s: 1.65381e-04
Iter: 3300, Loss: 1.87657e-04, Loss_0: 1.70344e-05, Loss_b: 8.47566e-07, Loss_f: 9.88716e-05, Loss_s: 7.09035e-05
Iter: 3400, Loss: 2.05474e-04, Loss_0: 1.50793e-05, Loss_b: 1.08085e-06, Loss_f: 1.22730e-04, Loss_s: 6.65845e-05
Iter: 3500, Loss: 1.72201e-04, Loss_0: 1.39661e-05, Loss_b: 2.81247e-07, Loss_f: 9.19631e-05, Loss_s: 6.59902e-05
Iter: 3600, Loss: 1.82072e-04, Loss_0: 1.41634e-05, Loss_b: 2.54694e-07, Loss_f: 9.31170e-05, Loss_s: 7.45366e-05
Iter: 3700, Loss: 2.11707e-03, Loss_0: 6.57126e-05, Loss_b: 9.98475e-05, Loss_f: 1.76168e-03, Loss_s: 1.89827e-04
Iter: 3800, Loss: 1.48394e-04, Loss_0: 1.13644e-05, Loss_b: 2.20395e-07, Loss_f: 8.05634e-05, Loss_s: 5.62462e-05
Iter: 3900, Loss: 1.57244e-04, Loss_0: 1.10738e-05, Loss_b: 8.82610e-07, Loss_f: 8.68151e-05, Loss_s: 5.84727e-05
Iter: 4000, Loss: 1.81700e-04, Loss_0: 1.09739e-05, Loss_b: 1.72653e-07, Loss_f: 8.48409e-05, Loss_s: 8.57122e-05
Iter: 4100, Loss: 2.57658e-04, Loss_0: 1.12118e-05, Loss_b: 2.85054e-06, Loss_f: 1.92528e-04, Loss_s: 5.10676e-05
Iter: 4200, Loss: 1.29141e-04, Loss_0: 8.85155e-06, Loss_b: 2.35576e-07, Loss_f: 7.11173e-05, Loss_s: 4.89369e-05
Iter: 4300, Loss: 1.32634e-04, Loss_0: 9.67393e-06, Loss_b: 7.19817e-07, Loss_f: 6.84903e-05, Loss_s: 5.37498e-05
Iter: 4400, Loss: 3.55963e-04, Loss_0: 2.19538e-05, Loss_b: 1.81508e-05, Loss_f: 2.39044e-04, Loss_s: 7.68152e-05
Iter: 4500, Loss: 1.60511e-03, Loss_0: 2.60218e-04, Loss_b: 2.27650e-04, Loss_f: 9.31847e-04, Loss_s: 1.85392e-04
Iter: 4600, Loss: 4.29836e-04, Loss_0: 1.25020e-05, Loss_b: 4.27830e-06, Loss_f: 3.22904e-04, Loss_s: 9.01523e-05
Iter: 4700, Loss: 3.32922e-04, Loss_0: 1.63846e-05, Loss_b: 5.78923e-07, Loss_f: 2.39548e-04, Loss_s: 7.64104e-05
Iter: 4800, Loss: 1.06890e-04, Loss_0: 6.19105e-06, Loss_b: 2.56660e-07, Loss_f: 6.13642e-05, Loss_s: 3.90781e-05
Iter: 4900, Loss: 1.19767e-04, Loss_0: 6.45191e-06, Loss_b: 3.33161e-07, Loss_f: 6.39657e-05, Loss_s: 4.90166e-05
Iter: 5000, Loss: 2.54197e-03, Loss_0: 2.48144e-04, Loss_b: 4.18346e-05, Loss_f: 2.09463e-03, Loss_s: 1.57360e-04
Iter: 5100, Loss: 7.08459e-05, Loss_0: 3.58266e-06, Loss_b: 5.42016e-07, Loss_f: 4.63579e-05, Loss_s: 2.03633e-05
Iter: 5200, Loss: 4.65800e-05, Loss_0: 1.91805e-06, Loss_b: 5.80097e-07, Loss_f: 3.03630e-05, Loss_s: 1.37189e-05
Iter: 5300, Loss: 3.72872e-05, Loss_0: 1.98023e-06, Loss_b: 5.69571e-07, Loss_f: 2.31573e-05, Loss_s: 1.15801e-05
Iter: 5400, Loss: 2.85837e-05, Loss_0: 1.61764e-06, Loss_b: 3.29855e-07, Loss_f: 1.69310e-05, Loss_s: 9.70520e-06
Iter: 5500, Loss: 2.22974e-05, Loss_0: 1.48713e-06, Loss_b: 1.45136e-07, Loss_f: 1.22421e-05, Loss_s: 8.42300e-06
Iter: 5600, Loss: 1.78231e-05, Loss_0: 1.62040e-06, Loss_b: 1.86204e-07, Loss_f: 9.12395e-06, Loss_s: 6.89253e-06
Iter: 5700, Loss: 1.55042e-05, Loss_0: 1.61768e-06, Loss_b: 2.99667e-07, Loss_f: 7.50042e-06, Loss_s: 6.08642e-06
Iter: 5800, Loss: 1.30920e-05, Loss_0: 1.21358e-06, Loss_b: 3.01246e-07, Loss_f: 6.37423e-06, Loss_s: 5.20297e-06
Iter: 5900, Loss: 1.17941e-05, Loss_0: 1.22338e-06, Loss_b: 1.97141e-07, Loss_f: 5.51168e-06, Loss_s: 4.86186e-06
Iter: 6000, Loss: 1.06266e-05, Loss_0: 1.25442e-06, Loss_b: 9.34782e-08, Loss_f: 4.82974e-06, Loss_s: 4.44897e-06
Iter: 6100, Loss: 9.85105e-06, Loss_0: 1.22577e-06, Loss_b: 7.64176e-08, Loss_f: 4.25231e-06, Loss_s: 4.29655e-06
Iter: 6200, Loss: 8.92155e-06, Loss_0: 1.11582e-06, Loss_b: 6.99425e-08, Loss_f: 3.60628e-06, Loss_s: 4.12951e-06
Iter: 6300, Loss: 8.18879e-06, Loss_0: 1.02463e-06, Loss_b: 6.44322e-08, Loss_f: 3.19032e-06, Loss_s: 3.90942e-06
Iter: 6400, Loss: 7.72437e-06, Loss_0: 1.05127e-06, Loss_b: 7.56949e-08, Loss_f: 2.86667e-06, Loss_s: 3.73074e-06
Iter: 6500, Loss: 7.28236e-06, Loss_0: 1.05504e-06, Loss_b: 5.44288e-08, Loss_f: 2.61142e-06, Loss_s: 3.56147e-06
Iter: 6600, Loss: 6.76141e-06, Loss_0: 1.00648e-06, Loss_b: 4.72174e-08, Loss_f: 2.39379e-06, Loss_s: 3.31392e-06
Iter: 6700, Loss: 6.26993e-06, Loss_0: 8.96158e-07, Loss_b: 5.26177e-08, Loss_f: 2.18036e-06, Loss_s: 3.14080e-06
Iter: 6800, Loss: 5.75282e-06, Loss_0: 6.92845e-07, Loss_b: 4.22974e-08, Loss_f: 1.97493e-06, Loss_s: 3.04275e-06
Iter: 6900, Loss: 5.28635e-06, Loss_0: 6.15522e-07, Loss_b: 3.93433e-08, Loss_f: 1.81268e-06, Loss_s: 2.81880e-06
Iter: 7000, Loss: 4.91632e-06, Loss_0: 5.44764e-07, Loss_b: 4.71960e-08, Loss_f: 1.73526e-06, Loss_s: 2.58910e-06
Iter: 7100, Loss: 4.51710e-06, Loss_0: 4.96359e-07, Loss_b: 7.44322e-08, Loss_f: 1.63145e-06, Loss_s: 2.31486e-06
Iter: 7200, Loss: 4.24702e-06, Loss_0: 4.94482e-07, Loss_b: 1.01135e-07, Loss_f: 1.54878e-06, Loss_s: 2.10262e-06
Iter: 7300, Loss: 4.01859e-06, Loss_0: 4.68168e-07, Loss_b: 8.08117e-08, Loss_f: 1.47947e-06, Loss_s: 1.99014e-06
Iter: 7400, Loss: 3.85101e-06, Loss_0: 4.40179e-07, Loss_b: 7.90869e-08, Loss_f: 1.41772e-06, Loss_s: 1.91402e-06
Iter: 7500, Loss: 3.68581e-06, Loss_0: 4.34389e-07, Loss_b: 7.33729e-08, Loss_f: 1.36654e-06, Loss_s: 1.81151e-06
Iter: 7600, Loss: 3.48515e-06, Loss_0: 4.20491e-07, Loss_b: 9.30847e-08, Loss_f: 1.27208e-06, Loss_s: 1.69949e-06
Iter: 7700, Loss: 3.33446e-06, Loss_0: 3.98740e-07, Loss_b: 8.55155e-08, Loss_f: 1.23645e-06, Loss_s: 1.61375e-06
Iter: 7800, Loss: 3.20643e-06, Loss_0: 3.81038e-07, Loss_b: 9.19708e-08, Loss_f: 1.20616e-06, Loss_s: 1.52726e-06
Iter: 7900, Loss: 3.02942e-06, Loss_0: 3.65636e-07, Loss_b: 8.80834e-08, Loss_f: 1.14392e-06, Loss_s: 1.43179e-06
Iter: 8000, Loss: 2.86280e-06, Loss_0: 3.55426e-07, Loss_b: 8.18028e-08, Loss_f: 1.06237e-06, Loss_s: 1.36321e-06
Iter: 8100, Loss: 2.78215e-06, Loss_0: 3.35916e-07, Loss_b: 9.40455e-08, Loss_f: 1.06210e-06, Loss_s: 1.29009e-06
Iter: 8200, Loss: 2.63666e-06, Loss_0: 3.02223e-07, Loss_b: 9.38129e-08, Loss_f: 1.07579e-06, Loss_s: 1.16483e-06
Iter: 8300, Loss: 2.54406e-06, Loss_0: 2.84431e-07, Loss_b: 9.32756e-08, Loss_f: 1.06697e-06, Loss_s: 1.09937e-06
Iter: 8400, Loss: 2.42940e-06, Loss_0: 2.77494e-07, Loss_b: 7.13300e-08, Loss_f: 1.02175e-06, Loss_s: 1.05883e-06
Iter: 8500, Loss: 2.34015e-06, Loss_0: 2.59413e-07, Loss_b: 6.54954e-08, Loss_f: 1.00362e-06, Loss_s: 1.01163e-06
Iter: 8600, Loss: 2.19121e-06, Loss_0: 2.53926e-07, Loss_b: 9.08224e-08, Loss_f: 9.20642e-07, Loss_s: 9.25818e-07
Iter: 8700, Loss: 2.08182e-06, Loss_0: 2.51275e-07, Loss_b: 6.86068e-08, Loss_f: 8.63458e-07, Loss_s: 8.98482e-07
Iter: 8800, Loss: 1.97616e-06, Loss_0: 2.40633e-07, Loss_b: 4.35485e-08, Loss_f: 8.23178e-07, Loss_s: 8.68805e-07
Iter: 8900, Loss: 1.89824e-06, Loss_0: 2.37918e-07, Loss_b: 2.57900e-08, Loss_f: 7.53805e-07, Loss_s: 8.80728e-07
Iter: 9000, Loss: 1.80694e-06, Loss_0: 2.30854e-07, Loss_b: 3.02915e-08, Loss_f: 6.97125e-07, Loss_s: 8.48673e-07
Iter: 9100, Loss: 1.75336e-06, Loss_0: 2.33432e-07, Loss_b: 2.87248e-08, Loss_f: 6.76057e-07, Loss_s: 8.15142e-07
Training time: 405.8281
