Start Training:
Iter: 0, Loss: 1.79484e+00, Loss_0: 1.60082e-01, Loss_b: 9.00210e-01, Loss_f: 7.34550e-01
Iter: 1500, Loss: 4.20665e-03, Loss_0: 4.06621e-03, Loss_b: 1.03272e-05, Loss_f: 1.30119e-04
Iter: 1600, Loss: 4.18775e-03, Loss_0: 4.05478e-03, Loss_b: 9.26374e-06, Loss_f: 1.23700e-04
Iter: 1700, Loss: 4.17034e-03, Loss_0: 4.04320e-03, Loss_b: 8.47379e-06, Loss_f: 1.18671e-04
Iter: 1800, Loss: 4.15400e-03, Loss_0: 4.03117e-03, Loss_b: 7.85589e-06, Loss_f: 1.14976e-04
Iter: 1900, Loss: 4.13811e-03, Loss_0: 4.01850e-03, Loss_b: 7.34812e-06, Loss_f: 1.12253e-04
Iter: 2000, Loss: 4.12201e-03, Loss_0: 4.00499e-03, Loss_b: 6.90706e-06, Loss_f: 1.10112e-04
Iter: 2100, Loss: 4.10513e-03, Loss_0: 3.99035e-03, Loss_b: 6.49987e-06, Loss_f: 1.08277e-04
Iter: 2200, Loss: 4.08695e-03, Loss_0: 3.97425e-03, Loss_b: 6.10404e-06, Loss_f: 1.06599e-04
Iter: 2300, Loss: 4.06701e-03, Loss_0: 3.95629e-03, Loss_b: 5.70453e-06, Loss_f: 1.05015e-04
Iter: 2400, Loss: 4.04724e-03, Loss_0: 3.93990e-03, Loss_b: 6.33796e-06, Loss_f: 1.00996e-04
Iter: 2500, Loss: 4.02022e-03, Loss_0: 3.91321e-03, Loss_b: 4.86149e-06, Loss_f: 1.02143e-04
Iter: 2600, Loss: 3.99446e-03, Loss_0: 3.89107e-03, Loss_b: 5.53195e-06, Loss_f: 9.78563e-05
Iter: 2700, Loss: 3.96113e-03, Loss_0: 3.85812e-03, Loss_b: 3.90873e-06, Loss_f: 9.90995e-05
Iter: 2800, Loss: 3.92551e-03, Loss_0: 3.82527e-03, Loss_b: 3.37212e-06, Loss_f: 9.68684e-05
Iter: 2900, Loss: 4.08854e-03, Loss_0: 3.84776e-03, Loss_b: 1.50185e-04, Loss_f: 9.05980e-05
Iter: 3000, Loss: 3.83726e-03, Loss_0: 3.74366e-03, Loss_b: 2.60558e-06, Loss_f: 9.09973e-05
Iter: 3100, Loss: 3.87825e-03, Loss_0: 3.69538e-03, Loss_b: 7.67005e-05, Loss_f: 1.06169e-04
Iter: 3200, Loss: 3.71495e-03, Loss_0: 3.62971e-03, Loss_b: 2.50168e-06, Loss_f: 8.27408e-05
Iter: 3300, Loss: 3.66373e-03, Loss_0: 3.55002e-03, Loss_b: 3.09572e-05, Loss_f: 8.27607e-05
Iter: 3400, Loss: 3.51743e-03, Loss_0: 3.44504e-03, Loss_b: 2.45284e-06, Loss_f: 6.99395e-05
Iter: 3500, Loss: 3.43096e-03, Loss_0: 3.30180e-03, Loss_b: 5.71921e-05, Loss_f: 7.19688e-05
Iter: 3600, Loss: 3.18880e-03, Loss_0: 3.12416e-03, Loss_b: 1.97194e-06, Loss_f: 6.26653e-05
Iter: 3700, Loss: 3.02168e-03, Loss_0: 2.93024e-03, Loss_b: 2.02230e-05, Loss_f: 7.12160e-05
Iter: 3800, Loss: 2.81134e-03, Loss_0: 2.72275e-03, Loss_b: 2.15692e-06, Loss_f: 8.64381e-05
Iter: 3900, Loss: 2.67523e-03, Loss_0: 2.55923e-03, Loss_b: 1.96656e-05, Loss_f: 9.63347e-05
Iter: 4000, Loss: 2.47462e-03, Loss_0: 2.35204e-03, Loss_b: 3.15330e-06, Loss_f: 1.19423e-04
Iter: 4100, Loss: 2.29095e-03, Loss_0: 2.15587e-03, Loss_b: 3.08665e-06, Loss_f: 1.31991e-04
Iter: 4200, Loss: 2.15845e-03, Loss_0: 2.02884e-03, Loss_b: 9.31057e-06, Loss_f: 1.20295e-04
Iter: 4300, Loss: 1.95565e-03, Loss_0: 1.84160e-03, Loss_b: 3.38603e-06, Loss_f: 1.10667e-04
Iter: 4400, Loss: 1.74051e-03, Loss_0: 1.64844e-03, Loss_b: 2.10734e-06, Loss_f: 8.99572e-05
Iter: 4500, Loss: 1.63734e-03, Loss_0: 1.56186e-03, Loss_b: 2.25257e-06, Loss_f: 7.32270e-05
Iter: 4600, Loss: 1.48483e-03, Loss_0: 1.40425e-03, Loss_b: 2.12965e-06, Loss_f: 7.84581e-05
Iter: 4700, Loss: 1.36431e-03, Loss_0: 1.27394e-03, Loss_b: 4.49974e-06, Loss_f: 8.58786e-05
Iter: 4800, Loss: 7.52340e-03, Loss_0: 1.56092e-03, Loss_b: 5.83543e-03, Loss_f: 1.27054e-04
Iter: 4900, Loss: 1.20704e-03, Loss_0: 1.10859e-03, Loss_b: 6.83095e-06, Loss_f: 9.16266e-05
Iter: 5000, Loss: 1.12997e-03, Loss_0: 1.01256e-03, Loss_b: 1.04193e-05, Loss_f: 1.06995e-04
Iter: 5100, Loss: 3.58625e-04, Loss_0: 2.06972e-04, Loss_b: 4.35878e-07, Loss_f: 1.51217e-04
Iter: 5200, Loss: 1.65752e-04, Loss_0: 5.96585e-05, Loss_b: 1.09883e-06, Loss_f: 1.04995e-04
Iter: 5300, Loss: 9.71393e-05, Loss_0: 2.14876e-05, Loss_b: 6.59885e-07, Loss_f: 7.49918e-05
Iter: 5400, Loss: 6.47475e-05, Loss_0: 1.03971e-05, Loss_b: 1.50543e-07, Loss_f: 5.41998e-05
Iter: 5500, Loss: 3.08503e-05, Loss_0: 3.81598e-06, Loss_b: 9.41937e-08, Loss_f: 2.69401e-05
Iter: 5600, Loss: 1.71839e-05, Loss_0: 1.64355e-06, Loss_b: 2.90912e-07, Loss_f: 1.52495e-05
Iter: 5700, Loss: 9.07050e-06, Loss_0: 1.92491e-06, Loss_b: 2.13626e-07, Loss_f: 6.93197e-06
Iter: 5800, Loss: 3.88889e-06, Loss_0: 4.08776e-07, Loss_b: 3.39277e-08, Loss_f: 3.44619e-06
Iter: 5900, Loss: 2.07405e-06, Loss_0: 2.81132e-07, Loss_b: 1.93456e-08, Loss_f: 1.77358e-06
Training time: 592.2362
